Temp,Hum,Output,Time_us
35.51,68.46,51.35676,7.58
30.19,82.82,38.50232,7.88
28.06,67.91,30.09372,7.88
39.34,73.65,72.28627,7.58
39.88,70.26,71.85674,7.88
33.52,88.60,54.74318,7.88
36.02,86.29,66.56927,7.58
30.49,56.30,32.87569,7.88
36.73,74.72,59.63777,7.58
39.39,67.61,66.93571,7.58
31.95,53.58,35.21016,7.88
28.09,43.80,27.62715,7.88
29.39,78.09,35.33449,7.88
28.10,84.45,33.00600,7.58
29.49,82.20,36.42974,7.88
37.87,76.08,66.85094,7.58
31.52,80.59,42.71131,7.88
35.64,92.71,69.56661,7.58
30.50,63.91,35.15252,7.88
27.71,48.46,27.61552,7.58
38.30,69.72,63.19178,7.58
39.51,83.73,83.69291,7.88
35.12,99.92,72.79382,7.58
31.60,73.87,40.65030,7.58
29.47,66.95,33.34346,7.58
33.43,42.85,35.18340,7.88
34.53,41.96,36.80424,7.58
39.10,68.19,65.95692,7.58
39.95,71.10,73.10007,7.88
33.00,93.22,55.05131,7.88
35.86,62.44,49.01360,7.88
35.34,45.63,39.94664,7.88
34.44,94.35,64.09737,7.88
32.44,48.60,34.98249,7.88
33.65,95.34,60.42494,7.88
33.36,64.13,41.98891,7.88
31.85,66.24,39.10616,7.58
29.31,47.51,29.82309,7.88
34.22,41.98,36.10505,7.88
26.99,82.76,30.27693,7.58
32.31,48.51,34.80227,7.88
37.18,88.40,74.68732,7.58
34.31,83.39,55.50931,7.88
33.38,84.91,52.41124,7.88
36.82,82.01,66.86581,7.88
38.27,88.45,81.28148,7.58
35.93,68.53,52.94873,7.58
38.37,81.72,74.72009,7.58
29.20,95.20,39.18269,7.88
28.83,95.75,37.71848,7.88
32.97,49.72,35.99263,7.88
28.39,76.11,32.15621,7.88
36.76,87.17,71.34635,7.58
38.18,41.94,45.11281,7.88
37.31,83.93,71.21425,7.88
28.75,69.13,31.77163,7.58
33.32,67.08,42.85725,7.58
33.52,90.24,55.60248,7.58
32.15,45.55,33.78554,7.88
36.84,58.59,50.30511,7.88
31.23,61.28,36.02065,7.58
30.01,72.10,35.87070,7.58
28.21,72.40,30.91766,7.58
33.05,41.50,34.21902,7.88
28.30,54.27,29.45495,7.88
28.17,64.41,29.97002,7.88
39.50,50.26,53.78017,7.58
32.40,65.23,40.07735,7.88
36.66,51.32,44.96484,9.33
30.57,97.94,46.08682,7.88
27.51,66.10,29.36781,7.88
