Temp,Hum,Output,Time_us
83.55,98.43,100.07155,0.58
100.89,91.99,185.21834,0.58
92.01,63.67,107.31224,0.88
91.69,72.98,113.60037,0.58
82.81,53.17,84.25240,0.58
96.78,45.29,105.99384,0.58
99.03,98.00,184.42661,1.17
83.17,62.32,86.73804,0.58
81.25,83.64,87.77484,0.58
82.09,99.43,94.71635,0.58
87.87,41.09,88.02760,0.88
97.29,70.91,132.51062,0.58
87.08,64.84,95.32129,0.58
80.60,58.96,82.41252,0.58
94.69,93.71,150.03198,0.88
88.77,93.11,119.07935,0.58
87.08,96.01,113.70529,0.58
98.80,79.95,151.87480,0.58
99.30,53.92,120.28133,0.58
99.12,46.66,112.76254,0.58
85.89,55.11,89.25190,0.58
86.32,44.36,86.83429,0.58
82.22,40.96,81.75542,0.58
88.95,55.15,94.90146,0.58
83.82,98.35,101.13063,0.58
101.16,65.09,140.66896,0.58
95.23,83.07,138.65981,0.58
80.40,98.23,88.26473,0.58
86.77,82.11,103.43219,0.88
91.06,98.28,135.53262,0.58
103.71,61.39,145.72722,0.58
94.19,50.40,103.59244,0.58
85.39,54.02,88.10450,0.58
94.12,97.07,151.38171,0.58
81.54,92.28,90.65993,0.58
84.09,79.00,93.85315,0.58
92.82,57.11,104.82673,0.58
90.18,61.66,101.07174,0.58
87.87,58.89,94.37930,0.58
90.07,97.85,129.79918,0.58
85.96,58.80,90.60584,0.58
81.03,61.50,83.32335,0.58
95.67,97.11,160.80553,0.58
83.86,86.61,96.15030,0.58
88.75,41.23,89.27844,0.58
81.90,56.44,83.66381,0.58
92.19,67.44,110.72959,0.88
102.97,61.63,143.06496,0.58
88.90,55.11,94.77487,0.58
81.57,87.94,89.65791,0.58
91.22,51.93,97.96230,0.58
83.68,84.73,94.85283,0.58
95.05,84.98,140.22769,0.58
90.28,70.68,107.25676,0.58
95.90,74.89,131.58748,0.58
86.23,49.45,88.07780,0.58
81.48,41.35,81.17252,0.58
81.91,50.81,82.79464,0.58
86.38,82.34,102.25041,0.58
100.80,78.31,159.54362,0.58
89.85,72.40,107.12894,0.58
98.67,41.52,107.46471,0.58
103.21,89.47,195.49338,0.58
85.12,70.91,93.32697,0.58
92.98,79.80,124.85707,0.58
101.55,89.66,184.92003,0.88
83.66,96.72,99.74239,0.58
86.20,97.86,111.03159,0.58
90.55,50.80,96.03569,0.58
97.09,65.15,125.02811,0.88
90.91,93.39,129.53162,0.58
97.07,63.52,123.18669,0.58
97.38,44.00,106.40240,0.88
103.37,99.31,219.41368,0.58
95.54,69.83,124.44073,0.58
87.75,89.86,112.09666,0.58
101.93,52.33,126.76330,0.58
99.70,52.75,120.26016,0.58
80.58,74.26,84.55992,0.58
82.36,50.37,83.22734,0.88
97.48,69.74,131.87727,0.58
89.51,74.92,107.80925,0.58
101.88,62.18,139.44917,0.58
87.87,64.17,96.84299,0.58
90.00,47.67,93.57317,0.58
90.32,87.90,121.39748,0.58
85.91,67.71,93.88497,0.58
95.92,68.46,124.37433,0.58
86.34,82.82,102.39857,0.58
82.51,67.91,86.90831,0.58
102.81,73.65,161.92851,0.58
103.78,70.26,160.80206,0.58
92.34,88.60,131.34270,0.58
96.84,86.29,151.18492,0.58
86.88,56.30,91.39626,0.58
98.11,74.72,141.01041,0.58
102.90,67.61,152.10284,0.58
89.51,53.58,95.29229,0.58
82.56,43.80,82.44244,0.58
84.90,78.09,95.70393,0.58
82.58,84.45,91.55493,0.58
85.08,82.20,98.05595,0.58
100.17,76.08,152.70341,0.58
88.74,80.59,109.20007,0.58
96.15,92.71,156.97437,0.58
86.90,63.91,94.50199,0.58
81.88,48.46,82.41686,0.58
100.94,69.72,146.53006,0.58
103.12,83.73,182.80478,0.88
95.22,99.92,162.32619,0.58
88.88,73.87,105.09956,0.58
85.05,66.95,91.67792,0.58
92.17,42.85,95.29627,2.04
94.15,41.96,98.45896,0.58
102.38,68.19,150.65939,1.17
103.91,71.10,162.93333,0.58
91.40,93.22,131.78156,0.58
96.55,62.44,120.27792,0.58
95.61,45.63,103.61590,0.58
93.99,94.35,146.94321,0.58
90.39,48.60,94.69633,0.58
92.57,95.34,140.34364,0.58
92.05,64.13,107.75432,0.58
89.33,66.24,101.62392,0.88
84.76,47.51,85.55621,0.58
93.60,41.98,97.43224,0.58
80.58,82.76,85.96396,0.58
90.16,48.51,94.22644,0.58
98.92,88.40,166.28799,0.58
93.76,83.39,132.13824,0.58
92.08,84.91,126.25705,0.58
98.28,82.01,152.34753,0.58
100.89,88.45,178.30293,0.58
96.67,68.53,127.28644,0.88
101.07,81.72,166.92017,0.88
84.56,95.20,102.56173,0.58
83.89,95.75,100.21732,0.58
91.35,49.72,97.06819,0.58
83.10,76.11,90.35847,0.58
98.17,87.17,159.86972,0.58
100.72,41.94,112.57965,0.58
99.16,83.93,160.10799,0.58
83.75,69.13,89.67245,0.58
91.98,67.08,109.77842,0.58
92.34,90.24,133.16571,0.58
89.87,45.55,92.49228,0.58
98.31,58.59,122.08989,0.58
88.21,61.28,96.21999,0.58
86.02,72.10,96.04514,0.58
82.78,72.40,88.57266,0.58
91.49,41.50,93.55041,0.58
82.94,54.27,84.62607,0.58
82.71,64.41,86.44327,0.58
103.10,50.26,128.00389,0.58
90.32,65.23,103.66552,0.58
